date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:49:28	35495/35495	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202020%2016:49:25%20GMT	http://imperiaskygardennminhkhai.vn/mat-bang/	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/mat-bang/index.html	(from http://imperiaskygardennminhkhai.vn/)
23:49:28	31932/31932	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202020%2016:49:25%20GMT	http://imperiaskygardennminhkhai.vn/can-ho-mau/	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/can-ho-mau/index.html	(from http://imperiaskygardennminhkhai.vn/)
23:49:29	34064/34064	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202020%2016:49:27%20GMT	http://imperiaskygardennminhkhai.vn/chinh-sach-ban-hang/	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/chinh-sach-ban-hang/index.html	(from http://imperiaskygardennminhkhai.vn/)
23:49:29	30290/30290	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202020%2016:49:28%20GMT	http://imperiaskygardennminhkhai.vn/vi-tri/	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/vi-tri/index.html	(from http://imperiaskygardennminhkhai.vn/)
23:49:33	34126/34126	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202020%2016:49:29%20GMT	http://imperiaskygardennminhkhai.vn/tien-ich/	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/tien-ich/index.html	(from http://imperiaskygardennminhkhai.vn/)
23:50:06	196961/196961	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:43%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/hinh-anh-phoi-canh-imperia-sky-garden-minh-khai-1.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/hinh-anh-phoi-canh-imperia-sky-garden-minh-khai-1.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:50:12	224468/224468	---M--	200	added ('OK')	image/png	date:Thu,%2002%20May%202019%2014:48:43%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/vi-tri-chung-cu-imperia-sky-garden.png	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/vi-tri-chung-cu-imperia-sky-garden.png	(from http://imperiaskygardennminhkhai.vn/)
23:50:26	61710/61710	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:41%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-06-705x409.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-06-705x409.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:50:48	96091/96091	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:41%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-05-705x409.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-05-705x409.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:51:31	702158/702158	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:41%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/banner-imperia-sky-garden.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/banner-imperia-sky-garden.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:51:35	706738/706738	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:41%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/banner02.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/banner02.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:51:38	506255/506255	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:41%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-06.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-06.jpg	(from http://imperiaskygardennminhkhai.vn/)
